"","GENUS_SPECIES"
"686","Scaridae sp8"
"687","Acanthurus nigroris"
"688","Hyporhamphus affinis"
"689","Ostorhinchus angustatus"
"690","Chanos chanos"
"691","Variola louti"
"692","Anampses melanurus"
"693","Scorpaenopsis papuensis"
"694","Triaenodon obesus"
"695","Aprion virescens"
"696","Holocentridae sp1"
"697","Aspidontus dussumieri"
"698","Taenianotus triacanthus"
"699","Synodus variegatus"
"700","Cheilopogon simus"
"701","Acrocephalus schoenobaenus"
"702","Alauda arvensis"
"703","Anthus pratensis"
"704","Buteo buteo"
"705","Corvus corax"
"706","Corvus corone"
"707","Cuculus canorus"
"708","Gallinula chloropus"
"709","Haematopus ostralegus"
"710","Hirundo rustica"
"711","Motacilla alba"
"712","Oenanthe oenanthe"
"713","Prunella modularis"
"714","Pyrrhocorax pyrrhocorax"
"715","Saxicola torquata"
"716","Turdus merula"
"717","Vanellus vanellus"
"718","Acanthis cannabina"
"719","Rallus aquaticus"
"720","Crex crex"
"721","Falco peregrinus"
"722","Sylvia communis"
"723","Anas platyrhynchos"
"724","Erithacus rubecula"
"725","Sturnus vulgaris"
"726","Emberiza schoeniclus"
"727","Corvus monedula"
"728","Gallinago gallinago"
"729","Columba oenas"
"730","Anas strepera"
"731","Anas discors"
"732","Anas crecca"
"733","Bucephala albeola"
"734","Anas americana"
"735","Anas clypeata"
"736","Anas acuta"
"737","Oxyura jamaicensis"
"738","Aythya valisineria"
"739","Aythya americana"
"740","Aythya affinis"
"741","Aythya collaris"
"742","Bonasa bonasia"
"743","Lagopus lagopus"
"744","Tetrao tetrix"
"745","Tetrao urogallus"
"746","Martes martes"
"747","Mustela erminea"
"748","Vulpes vulpes"
"749","Blarina transitans"
"750","Clethrionomys gapperi"
"751","Napaeozapus insignis"
"752","Peromyscus spec"
"753","Tamias striatus"
"754","Perognathus flavus"
"755","Dipodomys merriami"
"756","Spermophilus spilosoma"
"757","Onychomys leucogaster"
"758","Onychomys arenicola"
"759","Dipodomys ordii"
"760","Neotoma albigula"
"761","Peromyscus truei"
"762","Reithrodontomys megalotis"
"763","Dipodomys spectabilis"
"764","Perognathus flavescens"
"765","Chaetodipus intermedius"
"766","Peromyscus leucopus"
"767","Peromyscus boylii"
"768","Peromyscus eremicus"
"769","Peromyscus difficilis"
"770","Ammospermophilus interpres"
"771","Eutamias dorsalis"
"772","Neotoma micropus"
"773","Peromyscus maniculatus"
"774","Eutamias quadrivittatus"
"775","Reithrodontomys montanus"
"776","Ammospermophilus leucurus"
"777","remi "
"778","Onychomys spec"
"779","Sigmodon hispidus"
"780","Morphospecies mammal"
"781","Ambloplites rupestris"
"782","Catasomus commersoni"
"783","Cottus bairdii"
"784","Esox lucius"
"785","Esox masquinongy"
"786","Etheostoma nigrum"
"787","Lepomis gibbosus"
"788","Lepomis macrochirus"
"789","Luxilus cornutus"
"790","Micropterus dolomieu"
"791","Micropterus salmoides"
"792","Notemigonus crysoleucas"
"793","Notropis heterolepis"
"794","Notropis volucellus"
"795","Perca flavescens"
"796","Percina caprodes"
"797","Pimephales notatus"
"798","Pomoxis nigromaculatuss"
"799","Stizostedion vitreum"
"800","Umbra pygmaea"
"801","Etheostoma exile"
"802","Ameiurus natalis"
"803","Etheostoma "
"804","Coregonus artedi"
"805","Salvelinus namaycush"
"806","Cyprinus carpio"
"807","Ictiobus cyprinellus"
"808","Labidesthes sicculus"
"809","Morone chrysops"
"810","Pimephales promelas"
"811","Pomoxis "
"812","Pomoxis annularis"
"813","Aplodinotus grunniens"
"814","Lepisosteus ferruginea"
"815","Lota lota"
"816","Ameiurus melas"
"817","Nocomis biguttatus"
"818","Notropis heterodon"
"819","Notropis rubellus"
"820","Percopsis omiscomaycus"
"821","Moxostoma macrolepidotum"
"822","Semotilus atromaculatus"
"823","Notropis "
"824","Notropis hudsonius"
"825","Ameiurus nebulosus"
"826","Osmerus mordax"
"827","Coregonus clupeaformis"
"828","Mola mola"
"829","Phoxinus eos"
"830","Cyprinella spiloptera"
"831","Lepomis fuscotomento"
"832","Notropis atherinoides"
"833","Culaea inconstans"
"834","Etheostoma flabellare"
"835","Amia calva"
"836","Salvelinus fontinalis"
"837","Phoxinus neogaeus"
"838","Fundulus diaphanus"
"839","Moxostoma anisurum"
"840","Sebastes maliger"
"841","Lepomis megalotis"
"842","Scaphirhynchus platorynchus"
"843","Hybognathus hankinsoni"
"844","Ictalurus punctatus"
"845","Morone mississippiensis"
"846","Pungitius pungitius"
"847","Hypentelium nigricans"
"848","Esox americanus"
"849","Ictiobus bubalus"
"850","Moxostoma valenciennesi"
"851","Lepomis gulosus"
"852","Fundulus notatus"
"853","Cottus cognatus"
"854","Moxostoma erythrurum"
"855","Poecilia reticulata"
"856","Acipenser fulvescens"
"857","Vireo altiloquus"
"858","Parula americana"
"859","Nesospingus speculiferus"
"860","Coereba flaveola"
"861","Margarops fuscatus"
"862","Todus mexicanus"
"863","Turdus plumbeus"
"864","Chlorostilbon maugeanus"
"865","Patagioenas squamosa"
"866","Loxigilla portoricensis"
"867","Melanerpes portoricensis"
"868","Geotrygon montana"
"869","Spindalis zena"
"870","Coccyzus vieilloti"
"871","Buteo platypterus"
