sample_id,phylo_div,SR
AD1_2007__Winfree 1  12__2003-06-14,5,1
AD1_2007__Winfree 1  13__2003-06-14,5,1
AD1_2007__Winfree 1  14__2003-06-14,5,1
AD1_2007__Winfree 1  15__2003-06-14,5,1
AD1_2007__Winfree 1  16__2003-06-14,5,1
AD1_2007__Winfree 1  17__2003-06-14,5,1
AD1_2007__Winfree 1  18__2003-06-14,5,1
AD1_2007__Winfree 1  19__2003-06-14,5,1
AD1_2007__Winfree 1  1__2003-06-14,5,1
AD1_2007__Winfree 1  20__2003-06-14,5,1
AD1_2007__Winfree 1  21__2003-06-14,5,1
AD1_2007__Winfree 1  22__2003-06-14,5,1
AD1_2007__Winfree 1  23__2003-06-14,5,1
AD1_2007__Winfree 1  24__2003-06-14,5,1
AD1_2007__Winfree 1  25__2003-06-14,5,1
AD1_2007__Winfree 1  26__2003-06-14,5,1
AD1_2007__Winfree 1  27__2003-06-14,5,1
AD1_2007__Winfree 1  28__2003-06-14,5,1
AD1_2007__Winfree 1  29__2003-06-14,5,1
AD1_2007__Winfree 1  2__2003-06-14,5,1
AD1_2007__Winfree 1  30__2003-06-14,5,1
AD1_2007__Winfree 1  31__2003-06-14,5,1
AD1_2007__Winfree 1  32__2003-06-14,5,1
AD1_2007__Winfree 1  33__2003-06-14,5,1
AD1_2007__Winfree 1  34__2003-06-14,5,1
AD1_2007__Winfree 1  35__2003-06-14,5,1
AD1_2007__Winfree 1  36__2003-06-14,5,1
AD1_2007__Winfree 1  37__2003-06-14,5,1
AD1_2007__Winfree 1  38__2003-06-14,5,1
AD1_2007__Winfree 1  39__2003-06-14,5,1
AD1_2007__Winfree 1  3__2003-06-14,5,1
AD1_2007__Winfree 1  40__2003-06-14,5,1
AD1_2007__Winfree 1  4__2003-06-14,5,1
AD1_2007__Winfree 1  5__2003-06-14,5,1
AD1_2007__Winfree 1  6__2003-06-14,5,1
AD1_2007__Winfree 1  7__2003-06-14,5,1
AD1_2007__Winfree 1  8__2003-06-14,5,1
AD1_2007__Winfree 1  9__2003-06-14,5,1
AD1_2008__Billeter 1 BLTS1 10__2001-07-02,6,2
AD1_2008__Billeter 1 BLTS1 11__2001-07-02,5,1
AD1_2008__Billeter 1 BLTS1 13__2001-07-02,5,1
AD1_2008__Billeter 1 BLTS1 14__2001-07-02,6,2
AD1_2008__Billeter 1 BLTS1 15__2001-07-02,5,1
AD1_2008__Billeter 1 BLTS1 16__2001-07-02,5,1
